id,fecha,anulado,cancelado_activado,coordinado,comentario
1,24/11/25 03:01:47,1,0,0,"Prestador reportó finalización exitosa, socio conforme."
2,21/05/25 07:14:08,0,0,0,"Auxilio llegó en tiempo, socio conforme según llamada de cierre."
3,13/01/26 03:43:47,0,0,0,"Auxilio llegó en tiempo, socio conforme según llamada de cierre."
4,07/10/25 02:37:27,0,0,0,"Todo en orden según protocolo operativo, servicio cerrado en CRM."
5,17/01/25 00:05:13,1,0,1,Error en ubicación de origen (GPS desfasado 3km). Auxilio llegó a punto equivocado y devolvió. Anulado y recoord con geo corregida.
6,30/04/25 16:38:01,1,0,1,Error en ubicación de origen (GPS desfasado 3km). Auxilio llegó a punto equivocado y devolvió. Anulado y recoord con geo corregida.
7,15/10/25 06:45:41,1,0,1,"Número de teléfono erróneo en ficha (era de familiar). Verificado en CRM y anulado, procedo a recoord."
8,26/12/25 17:26:14,0,1,0,"Todo en orden según protocolo operativo, servicio cerrado en CRM."
9,18/08/25 18:17:51,0,0,0,"Auxilio llegó en tiempo, socio conforme según llamada de cierre."
10,04/01/25 05:44:27,0,0,0,"Auxilio ejecutado sin problemas, registro OK en sistema."
11,24/06/25 08:09:13,1,0,1,Error en ubicación de origen (GPS desfasado 3km). Auxilio llegó a punto equivocado y devolvió. Anulado y recoord con geo corregida.
12,26/01/26 10:06:05,0,0,0,"Todo en orden según protocolo operativo, servicio cerrado en CRM."
13,14/07/25 03:22:54,1,0,0,"Sin incidencias, asistencia completada a las 20:11."
14,26/06/25 19:16:51,1,0,1,"Alta demanda operativa en zona, prestador no respondió en tiempo pactado. Caso anulado y recoord según protocolo #OP-1478."
15,23/01/25 23:29:34,1,0,1,"Número de teléfono erróneo en ficha (era de familiar). Verificado en CRM y anulado, procedo a recoord."
16,05/03/25 12:05:35,0,1,1,Cobertura celular nula en zona rural. Imposible confirmar ubicación. Cancelado y recoord vía datos alternativos.
17,31/05/25 20:39:56,0,0,0,"Prestador reportó finalización exitosa, socio conforme."
18,05/07/25 18:12:45,0,0,0,"Sin incidencias, asistencia completada a las 16:40."
19,05/02/25 01:42:14,0,0,0,"Sin incidencias, asistencia completada a las 19:25."
20,31/01/26 09:05:54,0,0,0,"Todo en orden según protocolo operativo, servicio cerrado en CRM."
21,30/04/25 03:24:17,0,0,0,"Prestador reportó finalización exitosa, socio conforme."
22,21/08/25 20:53:23,0,1,1,Capacidades operativas excedidas (3 casos simultáneos). Socio canceló y activamos recoord urgente. Tiempo de espera reportado: 110 min.
23,25/03/25 11:22:13,0,0,0,"Todo en orden según protocolo operativo, servicio cerrado en CRM."
24,10/12/25 08:44:59,0,0,0,"Prestador reportó finalización exitosa, socio conforme."
25,16/12/25 20:04:38,0,0,0,"Sin incidencias, asistencia completada a las 13:38."
26,22/11/25 05:34:46,0,0,0,"Sin incidencias, asistencia completada a las 13:11."
27,06/05/25 05:29:24,1,0,1,Prestador devolvió servicio por avería mecánica propia en ruta. Anulado y recoord inmediato con unidad backup. Tiempo perdido: 101 min.
28,19/05/25 20:44:35,0,0,0,"Sin incidencias, asistencia completada a las 19:03."
29,23/04/25 21:20:53,0,1,0,"Sin incidencias, asistencia completada a las 04:12."
30,29/01/26 01:14:52,0,1,1,Capacidades operativas excedidas (3 casos simultáneos). Socio canceló y activamos recoord urgente. Tiempo de espera reportado: 99 min.
31,17/01/25 10:25:17,0,0,0,"Sin incidencias, asistencia completada a las 13:45."
32,03/02/25 06:58:36,0,1,1,"Falla en GPS del prestador, no localizó vehículo. Cancelado activado y recoord con unidad alternativa. Caso registrado en incidente #INC-2354."
33,03/01/26 10:13:41,0,1,1,Cobertura celular nula en zona rural. Imposible confirmar ubicación. Cancelado y recoord vía datos alternativos.
34,13/09/25 12:56:58,0,0,0,"Prestador reportó finalización exitosa, socio conforme."
35,26/11/25 14:09:16,0,0,0,"Sin incidencias, asistencia completada a las 18:47."
36,13/03/25 07:47:35,1,0,0,"Caso sin novedades, finalizado exitosamente."
37,03/10/25 08:47:37,0,0,0,"Caso sin novedades, finalizado exitosamente."
38,08/08/25 18:25:23,0,1,1,Demora elevada del prestador (+91 min por tráfico). Socio canceló activado y recoord con unidad más cercana. Cliente notificado vía SMS.
39,23/04/25 04:32:31,0,0,0,"Sin incidencias, asistencia completada a las 03:47."
40,16/02/25 01:55:07,0,1,0,"Todo en orden según protocolo operativo, servicio cerrado en CRM."
